id,prompt_id,recording_prompt_id,title,triage,pillar,persona_lane,fit_strength,approval_status,blog_draft_exists,reuse_status_summary,transcript_path,output_dir,updated_at
"IMG_4130","","","Rich Inside the Business—But Is It Real Independence?","Caption / Post","business owner profit-to-wealth","business owner profit-to-wealth","direct","approved","false","5 candidate","work/IMG_4130/audio.json","output/IMG_4130/","2026-06-30T20:53:01.925Z"
"IMG_4131","","","Why Your Tax Strategy Needs to Grow Up With Your Business","Caption / Post","Business owner tax strategy","business owner profit-to-wealth","direct","approved","true","1 staged_preview, 5 candidate","work/IMG_4131/audio.json","output/IMG_4131/","2026-07-01T19:36:47.354Z"
"IMG_4133","","","Avoid Tipping the IRS: Why Tax Planning Belongs Year-Round","Caption / Post","Tax planning year-round","business owner profit-to-wealth","direct","approved","true","6 candidate","work/IMG_4133/audio.json","output/IMG_4133/","2026-06-30T20:53:01.925Z"
"IMG_4134","","","When Should Business Owners Start Moving Wealth Outside the Business?","Caption / Post","business owner profit-to-wealth","business owner profit-to-wealth","direct","approved","true","5 candidate","work/IMG_4134/audio.json","output/IMG_4134/","2026-06-30T20:53:01.925Z"
"IMG_4135","","","Why Running Your Business Like It's Always For Sale Usually Makes It Better","Caption / Post","business owner profit-to-wealth","business owner profit-to-wealth","direct","approved","false","5 candidate","work/IMG_4135/audio.json","output/IMG_4135/","2026-06-30T20:53:01.925Z"
"IMG_4138","","","Why Intentional Owner Pay Matters More Than You Think","Caption / Post","business owner pay decisions","business owner profit-to-wealth","direct","approved","true","6 candidate","work/IMG_4138/audio.json","output/IMG_4138/","2026-06-30T20:53:01.926Z"
"IMG_4139","","","Why Your Business Shouldn't Carry Every Burden","Caption / Post","business owner profit-to-wealth","business owner profit-to-wealth","direct","approved","false","5 candidate","work/IMG_4139/audio.json","output/IMG_4139/","2026-06-30T20:53:01.926Z"
"IMG_4156","","","Why a Retirement 'Number' Alone Won't Give You Confidence","Website Asset","retirement confidence","retirement transition","direct","approved","true","1 staged_preview, 6 candidate","work/IMG_4156/audio.json","output/IMG_4156/","2026-06-30T20:53:01.926Z"
"IMG_4157","","","Why a Great Year Doesn’t Always Build Personal Wealth for Business Owners","Caption / Post","Business owner profit-to-wealth","business owner profit-to-wealth","direct","approved","true","6 candidate","work/IMG_4157/audio.json","output/IMG_4157/","2026-06-30T20:53:01.926Z"
"IMG_4158","","","What Happens When Your Professionals Don’t Communicate?","Caption / Post","planning coordination","secondary complexity","direct","approved","true","7 candidate","work/IMG_4158/audio.json","output/IMG_4158/","2026-06-30T20:53:01.926Z"
"IMG_4159","","","Retirement Failure Isn't Just Running Out of Money: Why Oversaving Can Hurt Too","Website Asset","Retirement Spending Confidence","retirement transition","direct","approved","true","1 staged_preview, 6 candidate","work/IMG_4159/audio.json","output/IMG_4159/","2026-06-30T20:53:01.926Z"
"IMG_4160","","","Are Your Roth Conversions Actually Moving the Needle?","Caption / Post","Roth conversion strategy","retirement transition","direct","approved","true","5 candidate","work/IMG_4160/audio.json","output/IMG_4160/","2026-06-30T20:53:01.926Z"
"IMG_4161","","","What to Do (Emotionally and Practically) When You Inherit Money","Caption / Post","inherited wealth emotional reality","secondary complexity","direct","approved","true","1 staged_preview, 5 candidate","work/IMG_4161/audio.json","output/IMG_4161/","2026-06-30T20:53:01.927Z"
"IMG_4164","","","Why Knowing Your 'Enough' Number Changes Everything","Caption / Post","retirement confidence","secondary complexity","direct","approved","false","4 candidate","work/IMG_4164/audio.json","output/IMG_4164/","2026-06-30T20:53:01.927Z"
"IMG_4165","","","Your Estate Plan Isn’t Done After Signing the Documents","Caption / Post","estate/beneficiary coordination","secondary complexity","direct","approved","false","6 candidate","work/IMG_4165/audio.json","output/IMG_4165/","2026-06-30T20:53:01.927Z"
"IMG_4167","","","Why 'What Rate of Return Should I Get?' Is the Wrong Question","Website Asset","plan-before-portfolio","retirement transition","direct","approved","true","1 staged_preview, 4 candidate, 1 draft_generated","work/IMG_4167/audio.json","output/IMG_4167/","2026-06-30T20:53:01.927Z"
"IMG_4168","","","The Retirement Question Most People Never Get Asked","Caption / Post","retirement transition","retirement transition","direct","approved","true","1 saved-for-future-reuse, 3 candidate, 1 drafted, 1 draft_generated","work/IMG_4168/audio.json","output/IMG_4168/","2026-06-30T20:53:01.927Z"
"IMG_4463","","","What It Feels Like to Work Alongside AI Today","Caption / Post","working with AI","general POV","adjacent","approved","false","none","work/IMG_4463/audio.json","output/IMG_4463/","2026-06-30T20:53:01.927Z"
"IMG_4580","","","Why Your Tax Strategy Needs to Grow As Your Business Grows","Caption / Post","business owner profit-to-wealth","business owner profit-to-wealth","direct","pending","false","7 candidate","work/IMG_4580/audio.json","output/IMG_4580/","2026-06-30T20:53:01.927Z"
